Fecha,Dia,Mes,Numero_de_Semana,Año,Denso Total_Cantidad,Grupo ABC Total_Cantidad,Grupo Antolin Total_Cantidad,Hella Automotive Total_Cantidad,IACNA Total_Cantidad,Po Lighting Total_Cantidad,Stabilus Total_Cantidad,Tokai Rika Total_Cantidad,Yanfeng Total_Cantidad,Meridian Technologies Total_Cantidad,EFP Operations Total_Cantidad,Johnson Controls Total_Cantidad,Transporte y Automatización de Materiales Total_Cantidad,Isringhausen Total_Cantidad,Aptiv Total_Cantidad,Tesla Total_Cantidad,Mitchell Plastics Total_Cantidad,ElringKlinger Total_Cantidad,Draexlmaier Total_Cantidad,Michigan State University Total_Cantidad,Sanhua Automotive Total_Cantidad,Estapack Total_Cantidad,AGP Worldwide Operations Total_Cantidad,Aislantes y Empaques Total_Cantidad,Gaim Regiomontana Total_Cantidad,Ufi Filters Total_Cantidad,ITB Packaging Total_Cantidad,Inoac Polytec Total_Cantidad,ZKW Total_Cantidad,Faurecia Total_Cantidad,Katcon Total_Cantidad,Avanzar Interior Products Total_Cantidad,Denso Promedio_Cantidad,Grupo ABC Promedio_Cantidad,Grupo Antolin Promedio_Cantidad,Hella Automotive Promedio_Cantidad,IACNA Promedio_Cantidad,Po Lighting Promedio_Cantidad,Stabilus Promedio_Cantidad,Tokai Rika Promedio_Cantidad,Yanfeng Promedio_Cantidad,Meridian Technologies Promedio_Cantidad,EFP Operations Promedio_Cantidad,Johnson Controls Promedio_Cantidad,Transporte y Automatización de Materiales Promedio_Cantidad,Isringhausen Promedio_Cantidad,Aptiv Promedio_Cantidad,Tesla Promedio_Cantidad,Mitchell Plastics Promedio_Cantidad,ElringKlinger Promedio_Cantidad,Draexlmaier Promedio_Cantidad,Michigan State University Promedio_Cantidad,Sanhua Automotive Promedio_Cantidad,Estapack Promedio_Cantidad,AGP Worldwide Operations Promedio_Cantidad,Aislantes y Empaques Promedio_Cantidad,Gaim Regiomontana Promedio_Cantidad,Ufi Filters Promedio_Cantidad,ITB Packaging Promedio_Cantidad,Inoac Polytec Promedio_Cantidad,ZKW Promedio_Cantidad,Faurecia Promedio_Cantidad,Katcon Promedio_Cantidad,Avanzar Interior Products Promedio_Cantidad
2023-09-25,25,9,39,2023,1258,0,0,0,0,0,29253,1850,654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.7,0,0,0,0,0,635.93,142.31,34.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-01,1,10,40,2021,4,0,361,0,0,697,10921,500,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0,180.5,0,0,53.62,295.16,250,33.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-01,1,10,40,2022,50,0,0,13550,0,956,25823,2100,385,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,2710,0,68.29,573.84,100,21.39,16.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-02,2,10,40,2023,1852,0,0,4718,0,0,27846,300,1318,0,0,0,0,0,16992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3744,0,0,68.59,0,0,943.6,0,0,556.92,100,65.9,0,0,0,0,0,8496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1872,0,0
2021-10-08,8,10,41,2021,2,0,0,0,0,1230,10324,450,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,1,0,0,0,0,58.57,286.78,150,47.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
2022-10-08,8,10,41,2022,511,0,0,13230,0,1030,23634,2112,263,522,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.65,0,0,6615,0,114.44,695.12,91.83,17.53,58,200.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-09,9,10,41,2023,1067,0,0,100,0,0,26721,1350,995,0,0,0,0,0,18655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,772,0,0,42.68,0,0,100,0,0,651.73,168.75,55.28,0,0,0,0,0,4663.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257.33,0,0
2021-10-15,15,10,42,2021,17,0,0,4070,0,2022,8285,1750,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4.25,0,0,1356.67,0,59.47,414.25,291.67,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
2022-10-17,17,10,42,2022,436,0,0,7300,0,918,23196,1200,379,818,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21.8,0,0,7300,0,102,504.26,120,25.27,74.36,182.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2023-10-16,16,10,42,2023,2064,0,0,50,0,0,24388,1900,623,0,0,0,0,0,20160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7488,0,0,54.32,0,0,50,0,0,508.08,126.67,27.09,0,0,0,0,0,10080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1872,0,0
2021-10-25,25,10,43,2021,122,0,0,224,0,1101,26723,170,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,24.4,0,0,112,0,42.35,1670.19,85,39.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
2022-10-24,24,10,43,2022,2566,0,0,0,0,699,23962,2538,586,220,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.38,0,0,0,0,87.38,599.05,101.52,39.07,22,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-23,23,10,43,2023,2237,0,0,1420,0,0,29849,1200,643,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11952,0,0,63.91,0,0,129.09,0,0,694.16,109.09,53.58,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1494,0,0
2021-10-29,29,10,44,2021,2,0,0,4000,0,465,18697,3000,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,2,0,0,2000,0,42.27,415.49,272.73,31.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
2022-10-29,29,10,44,2022,1043,0,0,8130,0,570,22695,2019,466,120,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.23,0,0,8130,0,51.82,630.42,112.17,21.18,13.33,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-30,30,10,44,2023,1622,0,0,90,0,4,25007,1000,623,0,0,0,0,0,35856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3744,0,0,67.58,0,0,45,0,2,609.93,200,77.88,0,0,0,0,0,7171.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1872,0,0
2021-11-05,5,11,45,2021,0,0,0,0,0,880,21528,980,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.76,287.04,122.5,42.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-05,5,11,45,2022,1513,0,0,4000,0,552,29207,1434,254,238,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.07,0,0,2000,0,69,679.23,110.31,21.17,79.33,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-06,6,11,45,2023,3388,0,0,1738,0,0,29478,1300,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3744,0,52,89.16,0,0,347.6,0,0,578,118.18,66.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1872,0,10.4
2021-11-12,12,11,46,2021,0,0,0,0,0,904,0,1080,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.27,0,135,32.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-12,12,11,46,2022,286,0,0,0,0,1035,26705,1755,78,81,360,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16.82,0,0,0,0,60.88,721.76,135,19.5,16.2,180,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-11-13,13,11,46,2023,1711,0,0,5350,0,0,28238,600,981,0,0,0,0,0,33613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1872,0,0,61.11,0,0,764.29,0,0,627.51,200,109,0,0,0,0,0,8403.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1872,0,0
2021-11-19,19,11,47,2021,190,0,0,4320,0,1134,64867,1770,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,31.67,0,0,1080,0,51.55,745.6,177,19.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
2022-11-21,21,11,47,2022,570,0,0,19994,0,340,19179,1302,223,40,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1220,0,0,0,63.33,0,0,3998.8,0,42.5,581.18,93,37.17,20,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0
2023-11-20,20,11,47,2023,2684,0,0,230,0,0,25539,1300,1718,0,0,0,0,0,698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19552,0,0,74.56,0,0,76.67,0,0,654.85,100,190.89,0,0,0,0,0,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,0,0
2021-11-26,26,11,48,2021,29,0,0,0,0,731,13715,3310,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,81.22,326.55,220.67,38.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
