Periodo,Trimestre,Entidad_Federativa,Sexo,Poblacion_ocupada_industria_manufacturera,Poblacion_ocupada,Tasa_de_ocupacion_industria_manufacturera
2021,2,Chihuahua,Hombres,288027,1033093,27.88006501
2021,2,Chihuahua,Mujeres,209284,644660,32.46424472
2021,2,Ciudad de México,Hombres,257188,2344779,10.96853904
2021,2,Ciudad de México,Mujeres,151118,1772648,8.524986348
2021,2,Durango,Hombres,88722,494567,17.93932875
2021,2,Durango,Mujeres,49149,309859,15.86173066
2021,2,Guanajuato,Hombres,453015,1569758,28.85890691
2021,2,Guanajuato,Mujeres,241631,1073672,22.50510398
2021,2,Guerrero,Hombres,56972,900449,6.327065719
2021,2,Guerrero,Mujeres,50383,607810,8.289268028
2021,2,Hidalgo,Hombres,138139,785968,17.57565193
2021,2,Hidalgo,Mujeres,91133,510694,17.84493258
2021,2,Jalisco,Hombres,452452,2313882,19.55380611
2021,2,Jalisco,Mujeres,224400,1510818,14.85288102
2021,2,México,Hombres,748317,4407976,16.97643091
2021,2,México,Mujeres,387925,2868904,13.52171422
2021,2,Michoacán,Hombres,158532,1237056,12.81526463
2021,2,Michoacán,Mujeres,77462,764268,10.13544987
2021,2,Morelos,Hombres,63592,506067,12.56592507
2021,2,Morelos,Mujeres,26649,327362,8.140529444
2021,2,Nayarit,Hombres,23665,382771,6.18254779
2021,2,Nayarit,Mujeres,19471,226774,8.586081297
2021,2,Nuevo León,Hombres,476733,1715471,27.79021039
2021,2,Nuevo León,Mujeres,225555,1051010,21.46078534
2021,2,Oaxaca,Hombres,79317,1056486,7.507624332
2021,2,Oaxaca,Mujeres,148183,758070,19.54740327
2021,2,Puebla,Hombres,285058,1730598,16.47164737
2021,2,Puebla,Mujeres,165521,1173697,14.10253243
2021,2,Querétaro,Hombres,144221,599934,24.03947768
2021,2,Querétaro,Mujeres,84802,392300,21.61661993
2021,2,Quintana Roo,Hombres,34124,548727,6.218757233
2021,2,Quintana Roo,Mujeres,15310,314762,4.863992477
2021,2,San Luis Potosí,Hombres,140917,757157,18.6113316
2021,2,San Luis Potosí,Mujeres,80293,487772,16.46117448
2021,2,Sinaloa,Hombres,78778,823637,9.564650447
2021,2,Sinaloa,Mujeres,61969,509314,12.16715032
2021,2,Sonora,Hombres,135798,806040,16.84755099
2021,2,Sonora,Mujeres,119929,554870,21.61389154
2021,2,Tabasco,Hombres,43076,607914,7.085870699
2021,2,Tabasco,Mujeres,31315,332013,9.431859596
2021,2,Tamaulipas,Hombres,227687,943322,24.13672108
2021,2,Tamaulipas,Mujeres,148274,653412,22.69226767
2021,2,Tlaxcala,Hombres,77110,343626,22.44009475
2021,2,Tlaxcala,Mujeres,63953,244199,26.18888693
2021,2,Veracruz,Hombres,168872,2044225,8.260930181
2021,2,Veracruz,Mujeres,112519,1211893,9.284565552
2021,2,Yucatán,Hombres,103813,679811,15.27086205
2021,2,Yucatán,Mujeres,85939,479285,17.93066756
2021,2,Zacatecas,Hombres,44987,407113,11.05024895
2021,2,Zacatecas,Mujeres,31913,249478,12.79190951
2021,3,Nacional,Hombres,5615345,34000830,16.51531742
2021,3,Nacional,Mujeres,3522856,21835400,16.13369116
2021,3,Aguascalientes,Hombres,98436,374199,26.30578917
2021,3,Aguascalientes,Mujeres,53690,245871,21.83665418
2021,3,Baja California,Hombres,270981,1073235,25.2489902
2021,3,Baja California,Mujeres,188648,688166,27.41315322
2021,3,Baja California Sur,Hombres,13443,240654,5.586028073
2021,3,Baja California Sur,Mujeres,10083,165678,6.085901568
2021,3,Campeche,Hombres,18967,263849,7.188581348
2021,3,Campeche,Mujeres,15478,154303,10.0309132
2021,3,Coahuila,Hombres,285331,875940,32.57426308
2021,3,Coahuila,Mujeres,140394,539504,26.0227913
2021,3,Colima,Hombres,20507,218747,9.37475714
2021,3,Colima,Mujeres,13671,164391,8.316148694
2021,3,Chiapas,Hombres,81527,1478728,5.513319556
2021,3,Chiapas,Mujeres,62954,620083,10.15251184
2021,3,Chihuahua,Hombres,296016,1058280,27.97142533
2021,3,Chihuahua,Mujeres,214883,662774,32.42176066
2021,3,Ciudad de México,Hombres,284860,2423314,11.75497686
2021,3,Ciudad de México,Mujeres,181842,1970545,9.22800545
2021,3,Durango,Hombres,90305,490296,18.41846558
2021,3,Durango,Mujeres,53354,316569,16.85382965
2021,3,Guanajuato,Hombres,453457,1593259,28.46097213
2021,3,Guanajuato,Mujeres,235128,1083775,21.69527808
2021,3,Guerrero,Hombres,65917,919048,7.172313089
2021,3,Guerrero,Mujeres,91799,583431,15.73433705
2021,3,Hidalgo,Hombres,112176,784473,14.29953612
2021,3,Hidalgo,Mujeres,104437,552921,18.88823177
2021,3,Jalisco,Hombres,439945,2335109,18.84044813
2021,3,Jalisco,Mujeres,251693,1490308,16.88865657
2021,3,México,Hombres,788779,4603612,17.13391572
2021,3,México,Mujeres,372036,2889887,12.87372136
2021,3,Michoacán,Hombres,126225,1312219,9.619202283
2021,3,Michoacán,Mujeres,87202,813399,10.72069181
2021,3,Morelos,Hombres,67298,506233,13.29387851
2021,3,Morelos,Mujeres,30199,330510,9.137091162
2021,3,Nayarit,Hombres,24095,341802,7.049402871
2021,3,Nayarit,Mujeres,19570,238561,8.203352602
2021,3,Nuevo León,Hombres,503572,1712519,29.40533798
2021,3,Nuevo León,Mujeres,210363,1021720,20.58910465
2021,3,Oaxaca,Hombres,80114,1041786,7.690063026
2021,3,Oaxaca,Mujeres,133070,710915,18.71813086
2021,3,Puebla,Hombres,286702,1709317,16.77289818
2021,3,Puebla,Mujeres,188908,1163761,16.23254259
2021,3,Querétaro,Hombres,150665,622991,24.18413749
2021,3,Querétaro,Mujeres,85019,405415,20.97085702
2021,3,Quintana Roo,Hombres,32296,559368,5.773658844
2021,3,Quintana Roo,Mujeres,13787,327498,4.209796701
2021,3,San Luis Potosí,Hombres,146776,750776,19.5499057
2021,3,San Luis Potosí,Mujeres,99274,505911,19.62281903
2021,3,Sinaloa,Hombres,79503,789334,10.0721621
2021,3,Sinaloa,Mujeres,72150,518560,13.91352977
2021,3,Sonora,Hombres,146249,813041,17.98789975
2021,3,Sonora,Mujeres,125856,565382,22.26034787
