"Continent ID","Continent","Country ID","Country","Year","Trade Value","Trade Value Growth","Trade Value Growth Value","Trade Value Previous","Trade Value Current"
"as","Asia","asirq","Iraq",2021,91070720,25.671336574957536,18603344,72467376,91070720
"as","Asia","asisr","Israel",2021,26992866,25.32841705611545,5455160,21537706,26992866
"as","Asia","asjor","Jordan",2021,11608173,1.84416075275119,210197,11397976,11608173
"as","Asia","asjpn","Japan",2021,67203918,74.99351494136158,28800256,38403662,67203918
"as","Asia","askaz","Kazakhstan",2021,16482911,13.109187496560319,1910345,14572566,16482911
"as","Asia","askgz","Kyrgyzstan",2021,2145470,-17.568982912662243,-457276,2602746,2145470
"as","Asia","askhm","Cambodia",2021,66634292,5.638982728671154,3556922,63077370,66634292
"as","Asia","askor","South Korea",2021,43621161,56.16935783129282,15689202,27931959,43621161
"as","Asia","askwt","Kuwait",2021,20616043,12.164081083971963,2235789,18380254,20616043
"as","Asia","aslao","Laos",2021,25555617,9.627305758767152,2244256,23311361,25555617
"as","Asia","aslbn","Lebanon",2021,2577691,81.20035372749486,1155127,1422564,2577691
"as","Asia","aslka","Sri Lanka",2021,5699716,-17.886388284771517,-1241540,6941256,5699716
"as","Asia","asmac","Macau",2021,1055958,23.659917018084812,202037,853921,1055958
"as","Asia","asmdv","Maldives",2021,2122375,1.24772209023862,26155,2096220,2122375
"as","Asia","asmmr","Burma",2021,18581224,14.911755687726291,2411230,16169994,18581224
"as","Asia","asmng","Mongolia",2021,3881892.0000000005,55.16824150957882,1380161.000000001,2501730.9999999995,3881892.0000000005
"as","Asia","asmys","Malaysia",2021,65416584,-7.9085851362156925,-5617816,71034400,65416584
"as","Asia","asnpl","Nepal",2021,3726262.0000000005,26.584943701516995,782577.0000000005,2943685,3726262.0000000005
"as","Asia","asomn","Oman",2021,26577089,15.448010147679739,3556260,23020829,26577089
"as","Asia","aspak","Pakistan",2021,12184106,45.82552338567918,3828843,8355263,12184106
"as","Asia","asphl","Philippines",2021,52975569,48.056197420526814,17194852,35780717,52975569
"as","Asia","asprk","North Korea",2021,1703,-99.43050525520253,-297334.00000000006,299037.00000000006,1703
"as","Asia","aspse","Palestine",2021,11815611,44.42195823848302,3634299,8181312,11815611
"as","Asia","asqat","Qatar",2021,8242199,10.909208834898768,810716,7431483,8242199
"as","Asia","assau","Saudi Arabia",2021,49394624,-0.4658944934883505,-231204,49625828,49394624
"as","Asia","assgp","Singapore",2021,78108162,-25.656528926639282,-26955754,105063916,78108162
"as","Asia","assyr","Syria",2021,7726622.999999999,100.11667783372387,3865563.9999999995,3861058.9999999995,7726622.999999999
"as","Asia","astha","Thailand",2021,84344082,22.285000237845427,15370715,68973367,84344082
"as","Asia","astjk","Tajikistan",2021,895143,0.36461854643672825,3252,891891,895143
"as","Asia","astkm","Turkmenistan",2021,467925,-36.222368819188695,-265757,733682,467925
"as","Asia","astls","Timor-Leste",2021,676413,8.732512550454999,54324,622089,676413
"as","Asia","astur","Turkey",2021,13713660,59.14306171733477,5096470,8617190,13713660
"as","Asia","asuzb","Uzbekistan",2021,856089,-6.455229384865024,-59076,915165,856089
"as","Asia","asvnm","Vietnam",2021,161612981,7.271755158291652,10955447,150657534,161612981
"as","Asia","asxxb","Chinese Taipei",2021,52689035,92.13516805297762,25266135,27422900,52689035
"as","Asia","asyem","Yemen",2021,8130443,-77.3641791811853,-27788038,35918481,8130443
"eu","Europe","eualb","Albania",2021,16298177,42.42101740177531,4854517,11443660,16298177
"eu","Europe","euand","Andorra",2021,531472,4.226954137724104,21554,509918,531472
"eu","Europe","euaut","Austria",2021,185120613,31.579485950389607,44429523,140691090,185120613
"eu","Europe","eubel","Belgium",2021,485920715,24.106795129474403,94386380,391534335,485920715
"eu","Europe","eubgr","Bulgaria",2021,38050202,46.51935587429561,12080799,25969403,38050202
"eu","Europe","eubih","Bosnia and Herzegovina",2021,23731987,22.58490760568176,4372355,19359632,23731987
"eu","Europe","eublr","Belarus",2021,68388386,46.52175204129393,21713824,46674562,68388386
"eu","Europe","euche","Switzerland",2021,308868593,23.154006946329115,58069938,250798655,308868593
"eu","Europe","eucze","Czechia",2021,200311328,24.806764041881284,39814155,160497173,200311328
"eu","Europe","eudeu","Germany",2021,989233288,39.567377050727885,280447819,708785469,989233288
"eu","Europe","eudnk","Denmark",2021,154180316,28.538251131047588,34231340,119948976,154180316
"eu","Europe","euesp","Spain",2021,119847094,38.53445075838556,33336415,86510679,119847094
"eu","Europe","euest","Estonia",2021,30678345,26.563434618559185,6438844,24239501,30678345
"eu","Europe","eufin","Finland",2021,40246607,14.448018304126958,5080767,35165840,40246607
"eu","Europe","eufra","France",2021,682135350,30.046801725387027,157604688,524530662,682135350
"eu","Europe","eugbr","United Kingdom",2021,335037096,21.615809843844076,59548986,275488110,335037096
"eu","Europe","eugib","Gibraltar",2021,65023,8.144563084189867,4897,60126,65023
"eu","Europe","eugrc","Greece",2021,28729002,63.254226061712124,11131294,17597708,28729002
"eu","Europe","euhrv","Croatia",2021,18705847,31.647442646927693,4496800,14209047,18705847
"eu","Europe","euhun","Hungary",2021,193367191,20.114574333499938,32381572,160985619,193367191
"eu","Europe","euirl","Ireland",2021,156033808,19.555691536864277,25522407,130511401,156033808
"eu","Europe","euisl","Iceland",2021,15930835,-8.219490370061742,-1426701,17357536,15930835
"eu","Europe","euita","Italy",2021,124197661,45.202977886233896,38663836,85533825,124197661
"eu","Europe","eultu","Lithuania",2021,55838133,37.72516591516709,15294974,40543159,55838133
"eu","Europe","eulux","Luxembourg",2021,36581466,29.726805516069117,8382617,28198849,36581466
"eu","Europe","eulva","Latvia",2021,21957167,35.588260666618375,5763164,16194003,21957167
"eu","Europe","eumda","Moldova",2021,15270171,29.25646201007207,3456316,11813855,15270171
"eu","Europe","eumkd","North Macedonia",2021,10753921,40.812702409926146,3116882,7637039,10753921
"eu","Europe","eumlt","Malta",2021,5075845,10.269545145960626,472720,4603125,5075845
"eu","Europe","eumne","Montenegro",2021,2458724,35.058437595613064,638235.0000000002,1820488.9999999998,2458724
"eu","Europe","eunld","Netherlands",2021,850169637,30.96221997054939,200997962,649171675,850169637
"eu","Europe","eunor","Norway",2021,65292591,2.166739265962751,1384717,63907874,65292591
"eu","Europe","eupol","Poland",2021,192009293,51.188731586202174,65009555,126999738,192009293
"eu","Europe","euprt","Portugal",2021,92847581,34.71747623556628,23927361,68920220,92847581
"eu","Europe","eurou","Romania",2021,78965093,35.262976078993965,20586152,58378941,78965093
"eu","Europe","eurus","Russia",2021,55744518,-0.1731445475280225,-96686,55841204,55744518
"eu","Europe","eusmr","San Marino",2021,70078,0.32354120139723985,226,69852,70078
"eu","Europe","eusrb","Serbia",2021,35649687,51.8855402673618,12178271,23471416,35649687
"eu","Europe","eusvk","Slovakia",2021,178070120,27.230194040383683,38111110,139959010,178070120
"eu","Europe","eusvn","Slovenia",2021,48256870,42.78543271615214,14460096,33796774,48256870
"eu","Europe","euswe","Sweden",2021,170117161,29.76817099946799,39024028,131093133,170117161
"eu","Europe","euukr","Ukraine",2021,19314077,18.680663891358407,3040089,16273988,19314077
"na","North America","naabw","Aruba",2021,277277,-26.659683814330187,-100792,378069,277277
"na","North America","naatg","Antigua and Barbuda",2021,227279.99999999997,-18.257541971774263,-50764.00000000003,278044,227279.99999999997
"na","North America","nabes","Bonaire",2021,8844,-44.70080660288877,-7149,15993,8844
"na","North America","nabhs","Bahamas",2021,1868373,38.14514322303399,515902,1352471,1868373
"na","North America","nablm","Saint Barthélemy",2021,3003,709.433962264151,2632,371,3003
"na","North America","nablz","Belize",2021,8958022,23.572014249233575,1708790,7249232,8958022
