encuesta,puesto,antiguedad,razon_entrada,salario_bueno,prestaciones_bueno,jornada_no_excesiva,ofrecimiento_herramientas,no_molestia_temperatura,estres_bajo,facilidad_transporte,zona_trabajo_comoda,permanencia_form_futuro,sufrido_situaciones_conflicto,molestias_puesto,sentimiento_form,edad,genero,estado_civil,municipio,nivel_escolar,personas_dependientes,categoria_molestias,categoria_sentimiento
69,administrativo,12,razones personales,De Acuerdo,Desacuerdo,Desacuerdo,Neutro,Neutro,De Acuerdo,De Acuerdo,De Acuerdo,0,0,falta personal,comodo,33,femenino,soltero,apodaca,licenciatura,2,Otros,Positivo
70,ayudante general,6,ubicacion empresa,Desacuerdo,Desacuerdo,De Acuerdo,De Acuerdo,Desacuerdo,Desacuerdo,De Acuerdo,Desacuerdo,0,0,temperatura,normal,37,femenino,union libre,apodaca,secundaria,2,Otros,Neutro
71,ayudante general,36,otro,Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,0,0,jornada laboral,contento,54,masculino,casado,juarez,secundaria,1,Horario,Positivo
72,supervisor,2,ambiente trabajo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,0,0,traslado,comodo contento puesto agradecida aprendizaje,31,femenino,soltero,juarez,licenciatura,0,Otros,Positivo
73,operador,2,salario,De Acuerdo,De Acuerdo,De Acuerdo,Neutro,Neutro,Desacuerdo,De Acuerdo,De Acuerdo,0,0,estres,comodo,53,masculino,casado,apodaca,otro,3,Estrés y Carga de Trabajo,Positivo
74,ayudante general,3,ubicacion empresa,Neutro,Desacuerdo,Desacuerdo,Desacuerdo,Neutro,De Acuerdo,Neutro,Neutro,0,0,NA,comodo,46,femenino,casado,apodaca,primaria,0,Otros,Positivo
75,ayudante general,1,razones personales,Desacuerdo,Desacuerdo,De Acuerdo,Desacuerdo,De Acuerdo,Desacuerdo,Neutro,Desacuerdo,1,0,actividades correspondan,equis,18,femenino,soltero,apodaca,primaria,0,Otros,Neutro
76,soldador,10,ubicacion empresa,Desacuerdo,Neutro,De Acuerdo,De Acuerdo,De Acuerdo,Desacuerdo,De Acuerdo,De Acuerdo,0,1,forma dirigen,regular,40,masculino,casado,apodaca,preparatoria,3,Otros,Neutro
77,soldador,36,ubicacion empresa,Desacuerdo,Desacuerdo,Neutro,Desacuerdo,Desacuerdo,Neutro,De Acuerdo,Neutro,0,1,comedor pocos micros,comodo comodo,35,masculino,casado,juarez,preparatoria,3,Condiciones Laborales,Positivo
78,supervisor,36,razones personales,De Acuerdo,Desacuerdo,Neutro,De Acuerdo,Neutro,Neutro,Neutro,De Acuerdo,0,0,NA,contento,44,femenino,casado,apodaca,otro,3,Otros,Positivo
79,mantenimiento,14,otro,Desacuerdo,Desacuerdo,Desacuerdo,Desacuerdo,De Acuerdo,De Acuerdo,Neutro,De Acuerdo,1,0,salario herramientas trabajo prestaciones,contento,28,masculino,casado,juarez,preparatoria,2,Salario y Prestaciones,Positivo
80,ayudante general,1,otro,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,0,0,comedor,comodo,42,masculino,casado,pesqueria,secundaria,2,Condiciones Laborales,Positivo
81,administrativo,36,salario,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,0,0,actitud companeros,muy comodo trabajando,33,femenino,casado,guadalupe,licenciatura,1,Otros,Positivo
82,ayudante general,10,salario,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,0,0,NA,contento comodo,24,masculino,union libre,apodaca,secundaria,1,Otros,Positivo
83,administrativo,10,salario,De Acuerdo,De Acuerdo,De Acuerdo,De Acuerdo,Desacuerdo,De Acuerdo,De Acuerdo,De Acuerdo,0,0,actividades aburren,contento,29,femenino,soltero,apodaca,licenciatura,0,Otros,Positivo
