"Continent ID","Continent","Country ID","Country","Year","Trade Value","Trade Value Growth","Trade Value Growth Value","Trade Value Previous","Trade Value Current"
"oc","Oceania","ocncl","New Caledonia",2021,387.99999999999994,0.41605839416058404,114,273.99999999999994,387.99999999999994
"oc","Oceania","ocnzl","New Zealand",2021,1393306,0.4457281009400876,429566,963740,1393306
"oc","Oceania","ocpng","Papua New Guinea",2021,4619,0.18435897435897436,719,3900,4619
"oc","Oceania","ocpyf","French Polynesia",2021,40,-0.991617770326907,-4732,4772,40
"oc","Oceania","ocvut","Vanuatu",2021,8,-0.999459386403568,-14789.999999999998,14797.999999999998,8
"sa","South America","saarg","Argentina",2021,19542512,0.06529616905178205,1197837,18344675,19542512
"sa","South America","sabol","Bolivia",2021,7399502,0.8729090031479645,3448695,3950807,7399502
"sa","South America","sabra","Brazil",2021,35214238,0.507292087210901,11851654,23362584,35214238
"sa","South America","sachl","Chile",2021,4803085,-0.340979509668893,-2485133,7288218,4803085
"sa","South America","sacol","Colombia",2021,5693695,0.036509517411070495,200552,5493143,5693695
"sa","South America","saecu","Ecuador",2021,6815897,0.1753585190810682,1016903,5798994,6815897
"sa","South America","saguy","Guyana",2021,412018,-0.14389427971824537,-69251.99999999994,481269.99999999994,412018
"sa","South America","saper","Peru",2021,3833062,-0.2669185967675707,-1395637,5228699,3833062
"sa","South America","sapry","Paraguay",2021,743252.9999999999,2.186098251028806,509972.9999999999,233280,743252.9999999999
"sa","South America","sasur","Suriname",2021,73161,46.84892086330935,71632,1529,73161
"sa","South America","saury","Uruguay",2021,3951611.0000000005,0.23340374914243153,747785,3203826.0000000005,3951611.0000000005
"sa","South America","saven","Venezuela",2021,17071,0.6552894405119751,6758,10313,17071
"af","Africa","afcom","Comoros",2021,1151,1,1151,0,1151
"af","Africa","afgmb","Gambia",2021,235,1,235,0,235
"af","Africa","afshn","Saint Helena",2021,3566.9999999999995,1,3566.9999999999995,0,3566.9999999999995
"af","Africa","afsom","Somalia",2021,37450,1,37450,0,37450
"af","Africa","afstp","Sao Tome and Principe",2021,160,1,160,0,160
"as","Asia","ascck","Cocos (Keeling) Islands",2021,45,1,45,0,45
"na","North America","nakna","Saint Kitts and Nevis",2021,2322,1,2322,0,2322
"oc","Oceania","ocnfk","Norfolk Island",2021,12192,1,12192,0,12192
"oc","Oceania","ocnru","Nauru",2021,3431.0000000000005,1,3431.0000000000005,0,3431.0000000000005
"oc","Oceania","octkl","Tokelau",2021,664,1,664,0,664
"oc","Oceania","octon","Tonga",2021,1,1,1,0,1
"oc","Oceania","ocwlf","Wallis and Futuna",2021,10,1,10,0,10
"af","Africa","afbdi","Burundi",2020,13357,-1,-13357,13357,0
"af","Africa","afcpv","Cape Verde",2020,2556,-1,-2556,2556,0
"as","Asia","ascxr","Christmas Island",2020,391,-1,-391,391,0
"as","Asia","astjk","Tajikistan",2020,1574,-1,-1574,1574,0
"na","North America","namsr","Montserrat",2020,2013,-1,-2013,2013,0
"oc","Oceania","ocpcn","Pitcairn Islands",2020,12498,-1,-12498,12498,0
"oc","Oceania","ocwsm","Samoa",2020,5504,-1,-5504,5504,0
